         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1217    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\xml\parsers\expat.py:1(<module>)
        6    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1471(get_metadata_lines)
        6    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1465(get_metadata)
       98    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:163(__enter__)
      144    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:406(cached)
      128    0.001    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3126(__init__)
       21    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1462(has_metadata)
        6    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1576(_get)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\_parseaddr.py:7(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\tarfile.py:30(<module>)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:339(_get_cached)
       78    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1776(__add__)
       15    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2526(activate)
        3    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\sysfont.py:240(font_constructor)
        2    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4622(srange)
       22    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1564(_has)
       68    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:416(_validate_bytecode_header)
       36    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:198(__init__)
       22    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\genericpath.py:16(exists)
        3    0.000    0.000    0.001    0.000 rts.py:745(create_player)
        2    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1567(parseString)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1257(_fill_cache)
      318    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1117(__init__)
11607/11149    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       79    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3256(__init__)
1294/1285    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2026    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     2713    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:242(match)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\win32\lib\pywintypes.py:2(<module>)
